Frequency,Age,Conductivity_Mean,RelativePermittivity_Mean,Label,Orientation_Transverse,Disease_ActRIIB,Disease_MDX,Disease_PBS,Disease_SMA
74000,13,0.44669905,24916.88036,0,FALSE,FALSE,TRUE,FALSE,FALSE
74000,13,0.352809707,26708.18641,0,TRUE,FALSE,TRUE,FALSE,FALSE
74000,43,0.17777812,7475.353317,0,FALSE,FALSE,TRUE,FALSE,FALSE
74000,43,0.117954714,9291.72973,0,TRUE,FALSE,TRUE,FALSE,FALSE
74000,6,0.381612982,18885.2057,0,FALSE,FALSE,TRUE,FALSE,FALSE
74000,6,0.261987086,19555.75543,0,TRUE,FALSE,TRUE,FALSE,FALSE
74000,40,0.172772883,9592.276843,0,FALSE,FALSE,FALSE,FALSE,TRUE
74000,40,0.066375332,8075.280757,0,TRUE,FALSE,FALSE,FALSE,TRUE
89000,16,0.13953501,17664.26886,0,FALSE,FALSE,FALSE,FALSE,FALSE
89000,16,0.12937155,17280.80074,0,TRUE,FALSE,FALSE,FALSE,FALSE
89000,18,0.138839843,20359.41748,0,FALSE,FALSE,FALSE,FALSE,FALSE
89000,18,0.114908384,15511.16177,0,TRUE,FALSE,FALSE,FALSE,FALSE
89000,8,0.271213856,28274.68225,0,FALSE,FALSE,FALSE,FALSE,FALSE
89000,8,0.139678618,21164.33398,0,TRUE,FALSE,FALSE,FALSE,FALSE
89000,10,0.410011181,19333.67951,0,FALSE,FALSE,TRUE,FALSE,FALSE
89000,10,0.285232711,18499.94821,0,TRUE,FALSE,TRUE,FALSE,FALSE
89000,13,0.460218314,21499.21712,0,FALSE,FALSE,TRUE,FALSE,FALSE
89000,13,0.366711098,23504.1035,0,TRUE,FALSE,TRUE,FALSE,FALSE
89000,43,0.181503167,6471.477621,0,FALSE,FALSE,TRUE,FALSE,FALSE
89000,43,0.12288962,8216.539957,0,TRUE,FALSE,TRUE,FALSE,FALSE
89000,6,0.390975975,16245.23069,0,FALSE,FALSE,TRUE,FALSE,FALSE
89000,6,0.271799451,17450.79915,0,TRUE,FALSE,TRUE,FALSE,FALSE
89000,40,0.177477037,8254.151757,0,FALSE,FALSE,FALSE,FALSE,TRUE
89000,40,0.07048828,7247.393766,0,TRUE,FALSE,FALSE,FALSE,TRUE
105000,16,0.149305786,16037.74757,0,FALSE,FALSE,FALSE,FALSE,FALSE
105000,16,0.138545056,15892.06753,0,TRUE,FALSE,FALSE,FALSE,FALSE
105000,18,0.148003985,18726.0099,0,FALSE,FALSE,FALSE,FALSE,FALSE
105000,18,0.12196595,14284.40234,0,TRUE,FALSE,FALSE,FALSE,FALSE
105000,8,0.286960105,25390.27558,0,FALSE,FALSE,FALSE,FALSE,FALSE
105000,8,0.150702016,19414.29957,0,TRUE,FALSE,FALSE,FALSE,FALSE
105000,10,0.421397379,16815.36181,0,FALSE,FALSE,TRUE,FALSE,FALSE
